genre,category,title,year,distribution,description,url,cover_photo
Family,Hollywood,Harry Potter and the Sorcerers Stone Part 1,2002,BluRay,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School of Witchcraft and Wizardry....<more>",https://fzmovies.net/movie-Harry%20Potter%20and%20the%20Sorcerers%20Stone%20Part%201--hmp4.htm,https://fzmovies.net/imdb_images/Harry%20Potter%20and%20the%20Sorcerers%20Stone%20Part%201.jpg
Family,Hollywood,The Little Mermaid 2023,2023,BluRay,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince....<more>,https://fzmovies.net/movie-The%20Little%20Mermaid%202023--hmp4.htm,https://fzmovies.net/imdb_images/The.Little.Mermaid.2023.jpg
Family,Hollywood,Fantastic Beasts The Crimes of Grindelwald,2018,BluRay,"The second installment of the ""Fantastic Beasts"" series set in J.K. Rowling's Wizarding World featuring the adventures of magizoologist Newt Scamander.Tags : witch...<more>",https://fzmovies.net/movie-Fantastic%20Beasts%20The%20Crimes%20of%20Grindelwald--hmp4.htm,https://fzmovies.net/imdb_images/Fantastic.Beasts.The.Crimes.of.Grindelwald.2018.jpg
Family,Hollywood,My Spy,2020,BluRay,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.",https://fzmovies.net/movie-My%20Spy--hmp4.htm,https://fzmovies.net/imdb_images/My.Spy.2020%20.jpg
Family,Hollywood,Dolittle,2020,BluRay,A physician discovers that he can talk to animals. Tags : ship...<more>,https://fzmovies.net/movie-Dolittle--hmp4.htm,https://fzmovies.net/imdb_images/Dolittle.2020.jpg
Family,Hollywood,Minions The Rise of Gru,2022,BluRay,The untold story of one twelve-year-old's dream to become the world's greatest supervillain.Tags : shared universe | sequel | second part...<more>,https://fzmovies.net/movie-Minions%20The%20Rise%20of%20Gru--hmp4.htm,https://fzmovies.net/imdb_images/Minions.The.Rise.of.Gru.2022.jpg
Family,Hollywood,The Angry Birds Movie 2,2019,BluRay,The flightless birds and scheming green pigs take their beef to the next level. Tags : sequel...<more>,https://fzmovies.net/movie-The%20Angry%20Birds%20Movie%202--hmp4.htm,https://fzmovies.net/imdb_images/The.Angry.Birds.Movie.2.2019.jpg
Family,Hollywood,Spider Man Across the Spider Verse,2023,BluRay,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a ...Tags : marvel comics | based on comic | second part | superhero...<more>",https://fzmovies.net/movie-Spider%20Man%20Across%20the%20Spider%20Verse--hmp4.htm,https://fzmovies.net/imdb_images/Spider.Man.Across.the.Spider.Verse.2023.jpg
Family,Hollywood,Ralph Breaks the Internet,2018,BluRay,"Taking place six years after saving the arcade from Turbo's vengeance, the Sugar Rush arcade cabinet has broken, forcing Ralph and Vanellope to travel to the Internet via the newly-installed Wi-Fi router in Litwak's Arcade to retrieve the piece capable of saving the game. Written by Lucas QuaresmaTags : rabbit...<more>",https://fzmovies.net/movie-Ralph%20Breaks%20the%20Internet--hmp4.htm,https://fzmovies.net/imdb_images/Ralph.Breaks.the.Internet.2018.jpg
Family,Hollywood,Pokemon Detective Pikachu,2019,BluRay,"The story begins when ace detective Harry Goodman goes mysteriously missing, prompting his 21-year-old son Tim to find out what happened. Aiding in the investigation is Harry's former Pokémon partner, Detective Pikachu: a hilariously wise-cracking, adorable super-sleuth who is a puzzlement even to…...<more>",https://fzmovies.net/movie-Pokemon%20Detective%20Pikachu--hmp4.htm,https://fzmovies.net/imdb_images/Detective.Pikachu.2019.jpg
